data_entrada;ordem;nota;centro;unidade;texto_breve;tipo_ordem;status_ordem_raw;status_semantico;responsavel_atual;data_conclusao;status_atualizado_em;incluida_no_painel;observacao
02/01/2026;5217332;10167634;114;PONTA NEGRA;GRAMPEADOR ELETRÔNICOS;PMOS;CONCLUIDO;concluida;Sem responsável;26/01/2026;26/01/2026;Sim;
02/01/2026;5217521;10167087;607;BEMOL FARMA NOVA CIDADE;GRAMPEADOR ELETRÔNICOS;PMOS;CONCLUIDO;concluida;Sem responsável;16/03/2026;16/03/2026;Não;"Nota marcada como excluída do cockpit; ordem mantida no relatório por existir na tabela de ordens."
06/01/2026;5217334;10167818;118;CAMAPUA;GRAMPEADOR ELETRÔNICOS;PMOS;CONCLUIDO;concluida;Sem responsável;23/01/2026;23/01/2026;Sim;
16/01/2026;5220935;10168267;636;FARMA DOM PEDRO;GRAMPEADOR ELETRÔNICOS;PMOS;CONCLUIDO;concluida;Mayky Castro;16/03/2026;16/03/2026;Sim;
16/01/2026;5220949;10168319;115;CIDADE NOVA;GRAMPEADOR ELETRÔNICOS;PMOS;CONCLUIDO;concluida;Rosana Figueira;05/03/2026;05/03/2026;Sim;
19/01/2026;5221109;10168487;105;EDUCANDOS;GRAMPEADOR ELETRÔNICOS;PMOS;CONCLUIDO;concluida;Fabiola Tentuge;19/02/2026;19/02/2026;Sim;
22/01/2026;5221449;10168774;615;FARMA DJALMA;GRAMPEADOR ELETRÔNICOS;PMOS;CONCLUIDO;concluida;Mayky Castro;16/03/2026;16/03/2026;Sim;
26/01/2026;5221134;10168876;118;CAMAPUA;GRAMPEADOR ELETRÔNICOS;PMOS;CONCLUIDO;concluida;Rosana Figueira;05/03/2026;05/03/2026;Sim;
26/01/2026;5221605;10168838;510;ITACOATIARA;GRAMPEADOR ELETRÔNICOS;PMOS;CONCLUIDO;concluida;Rosana Figueira;14/04/2026;24/06/2026;Sim;
27/01/2026;5221741;10167819;705;GETULIO VARGAS;GRAMPEADOR ELETRÔNICOS;PMOS;CONCLUIDO;concluida;Wanderlucio Mendes;26/03/2026;26/03/2026;Sim;
29/01/2026;5221878;10169079;120;SHOPPING PONTA NEGRA;GRAMPEADOR ELETRÔNICOS;PMOS;CONCLUIDO;concluida;Fabiola Tentuge;06/02/2026;20/02/2026;Sim;
30/01/2026;5221913;10169059;645;FARMA COROADO;GRAMPEADOR ELETRÔNICOS;PMOS;AGUARDANDO_FATURAMENTO_NF;concluida;Fabiola Tentuge;28/04/2026;27/05/2026;Sim;
